timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1788733181318,201,S01_Browse_And_Checkout_T03_OpenTableProductCard,200,"Number of samples in transaction : 1, number of failing samples : 0",S01_Browse_And_Checkout 1-5,,true,,47645,786,5,5,null,0,3,0
1788733181319,201,OpenTableProductCard,200,OK,S01_Browse_And_Checkout 1-5,text,true,,47645,786,5,5,http://localhost/products/kitchen-table2,152,0,0
1788733181450,190,S01_Browse_And_Checkout_T03_OpenTableProductCard,200,"Number of samples in transaction : 1, number of failing samples : 0",S01_Browse_And_Checkout 1-3,,true,,47711,790,5,5,null,0,4,0
1788733181451,190,OpenTableProductCard,200,OK,S01_Browse_And_Checkout 1-3,text,true,,47711,790,5,5,http://localhost/products/living-room-table6,173,0,0
1788733182761,111,S01_Browse_And_Checkout_T04_AddTableToCart,200,"Number of samples in transaction : 1, number of failing samples : 0",S01_Browse_And_Checkout 1-1,,true,,778,1043,5,5,null,0,4,0
1788733182762,111,AddTableToCart,200,OK,S01_Browse_And_Checkout 1-1,text,true,,778,1043,5,5,http://localhost/wp-admin/admin-ajax.php,111,0,0
1788733183493,148,S01_Browse_And_Checkout_T07_AddChairToCart,200,"Number of samples in transaction : 1, number of failing samples : 0",S01_Browse_And_Checkout 1-4,,true,,778,1082,5,5,null,0,3,0
1788733183494,148,AddChairToCart,200,OK,S01_Browse_And_Checkout 1-4,text,true,,778,1082,5,5,http://localhost/wp-admin/admin-ajax.php,148,0,0
1788733183486,179,S01_Browse_And_Checkout_T08_OpenCart,200,"Number of samples in transaction : 1, number of failing samples : 0",S01_Browse_And_Checkout 1-2,,true,,38904,784,5,5,null,0,2,0
1788733183487,179,OpenCart,200,OK,S01_Browse_And_Checkout 1-2,text,true,,38904,784,5,5,http://localhost/cart,178,0,0
1788733185139,79,S01_Browse_And_Checkout_T04_AddTableToCart,200,"Number of samples in transaction : 1, number of failing samples : 0",S01_Browse_And_Checkout 1-3,,true,,778,1056,5,5,null,0,3,0
1788733185139,79,AddTableToCart,200,OK,S01_Browse_And_Checkout 1-3,text,true,,778,1056,5,5,http://localhost/wp-admin/admin-ajax.php,79,0,0
1788733186296,93,S01_Browse_And_Checkout_T04_AddTableToCart,200,"Number of samples in transaction : 1, number of failing samples : 0",S01_Browse_And_Checkout 1-5,,true,,778,1051,5,5,null,0,3,0
1788733186296,93,AddTableToCart,200,OK,S01_Browse_And_Checkout 1-5,text,true,,778,1051,5,5,http://localhost/wp-admin/admin-ajax.php,93,0,0
1788733186811,291,S01_Browse_And_Checkout_T09_OpenCheckout,200,"Number of samples in transaction : 2, number of failing samples : 0",S01_Browse_And_Checkout 1-2,,true,,131600,1787,5,5,null,0,48,0
